Link,Price,Price per m2,Square,Floor,Floors,Rooms,Is Apartment?,Year,Time to metro,Okrug,District
https://www.cian.ru/sale/flat/301614539/,34650000,238966,145,1,17,4,False,2018,20,НАО (Новомосковский),Внуковское поселение
https://www.cian.ru/sale/flat/301614386/,15900000,220833,72,7,16,2,False,2012,13,НАО (Новомосковский),Коммунарка поселок
https://www.cian.ru/sale/flat/301613899/,15900000,273666,58.1,5,9,2,False,2017,5,НАО (Новомосковский),Коммунарка поселок
https://www.cian.ru/sale/flat/301613865/,14700000,282692,52,6,13,2,False,2023,16,НАО (Новомосковский),Сосенское поселение
https://www.cian.ru/sale/flat/301613749/,11900000,250000,47.6,8,9,1,False,2014,17,НАО (Новомосковский),Коммунарка поселок
https://www.cian.ru/sale/flat/301612398/,6500000,196970,33,3,9,1,False,1975,9,НАО (Новомосковский),Кокошкино дп
https://www.cian.ru/sale/flat/301612375/,13950000,232888,59.9,3,16,3,True,2023,14,НАО (Новомосковский),Мосрентген поселение
https://www.cian.ru/sale/flat/301610436/,16000000,235294,68,6,17,2,False,2017,18,НАО (Новомосковский),Внуковское поселение
https://www.cian.ru/sale/flat/301609532/,10649730,259750,41,2,21,1,False,2025,12,НАО (Новомосковский),Сосенское поселение
https://www.cian.ru/sale/flat/301609514/,16221352,206905,78.4,2,8,2,False,2025,16,НАО (Новомосковский),Сосенское поселение
https://www.cian.ru/sale/flat/301609509/,7417803,234000,31.7,2,9,0,True,2024,8,НАО (Новомосковский),Сосенское поселение
https://www.cian.ru/sale/flat/301609407/,9605546,290198,33.1,1,22,0,True,2026,5,НАО (Новомосковский),Московский поселение
https://www.cian.ru/sale/flat/301604239/,13500000,205167,65.8,1,9,3,False,2020,13,НАО (Новомосковский),Филимонковское поселение
https://www.cian.ru/sale/flat/301604031/,23444576,238016,98.5,12,15,4,False,2025,15,НАО (Новомосковский),Сосенское поселение
https://www.cian.ru/sale/flat/301603631/,16651673,201594,82.6,2,17,2,False,2025,13,НАО (Новомосковский),Сосенское поселение
https://www.cian.ru/sale/flat/301603538/,23495547,269723,87.11,5,9,3,False,2024,19,НАО (Новомосковский),Мосрентген поселение
https://www.cian.ru/sale/flat/301602431/,10000000,263158,38,17,17,1,False,2022,19,НАО (Новомосковский),Десеновское поселение
https://www.cian.ru/sale/flat/301602001/,14300000,238333,60,12,17,2,False,2015,3,НАО (Новомосковский),Воскресенское поселение
https://www.cian.ru/sale/flat/301601667/,9500000,287879,33,6,13,2,False,2022,15,НАО (Новомосковский),Рязановское поселение
https://www.cian.ru/sale/flat/301600867/,9900000,186792,53,5,12,3,False,2024,5,НАО (Новомосковский),Рязановское поселение
https://www.cian.ru/sale/flat/301600399/,12000000,279070,43,10,17,1,False,2013,8,НАО (Новомосковский),Московский
https://www.cian.ru/sale/flat/301599904/,6800000,272000,25,9,16,0,True,2022,15,НАО (Новомосковский),Рязановское поселение
https://www.cian.ru/sale/flat/301599314/,14000000,190217,73.6,1,12,4,False,1994,15,НАО (Новомосковский),Коммунарка поселок
https://www.cian.ru/sale/flat/301598588/,9800000,328859,29.8,15,15,1,False,2019,11,НАО (Новомосковский),Сосенское поселение
https://www.cian.ru/sale/flat/301598495/,10200000,255000,40,7,17,1,False,2012,10,НАО (Новомосковский),Внуковское поселение
https://www.cian.ru/sale/flat/301598466/,17900000,350980,51,4,9,2,False,2021,20,НАО (Новомосковский),Сосенское поселение
https://www.cian.ru/sale/flat/301597704/,12500000,202593,61.7,14,19,2,False,2017,12,НАО (Новомосковский),Марушкинское поселение
https://www.cian.ru/sale/flat/301597641/,22500000,264706,85,10,22,3,False,2016,5,НАО (Новомосковский),Внуковское поселение
https://www.cian.ru/sale/flat/301597615/,8500000,326923,26,4,16,0,True,2016,9,НАО (Новомосковский),Сосенское поселение
https://www.cian.ru/sale/flat/301596484/,26000000,433333,60,4,8,3,False,2021,6,НАО (Новомосковский),Сосенское поселение
https://www.cian.ru/sale/flat/301595984/,9600000,240000,40,5,17,1,False,2022,18,НАО (Новомосковский),Десеновское поселение
https://www.cian.ru/sale/flat/301595532/,11400000,345455,33,3,13,1,False,2018,6,НАО (Новомосковский),Сосенское поселение
https://www.cian.ru/sale/flat/301594878/,9000000,236842,38,7,14,1,False,2023,15,НАО (Новомосковский),Десеновское поселение
https://www.cian.ru/sale/flat/301594809/,12990000,324750,40,7,9,2,False,2022,15,НАО (Новомосковский),Московский поселение
https://www.cian.ru/sale/flat/301594139/,19284939,214515,89.9,2,12,3,False,2025,13,НАО (Новомосковский),Сосенское поселение
https://www.cian.ru/sale/flat/301594137/,16470743,243650,67.6,3,12,2,False,2025,14,НАО (Новомосковский),Сосенское поселение
https://www.cian.ru/sale/flat/301594135/,20204792,222765,90.7,2,18,4,False,2025,14,НАО (Новомосковский),Сосенское поселение
https://www.cian.ru/sale/flat/301594134/,12860793,387373,33.2,9,10,1,False,2025,13,НАО (Новомосковский),Сосенское поселение
https://www.cian.ru/sale/flat/301593908/,7900000,213514,37,7,15,1,False,2025,16,НАО (Новомосковский),Десеновское поселение
https://www.cian.ru/sale/flat/301593902/,7800000,232836,33.5,1,4,1,False,2025,8,НАО (Новомосковский),Сосенское поселение
https://www.cian.ru/sale/flat/301593901/,9900000,267568,37,4,9,1,False,2014,19,НАО (Новомосковский),Сосенское поселение
https://www.cian.ru/sale/flat/301593567/,8800000,238482,36.9,3,17,1,False,2017,18,НАО (Новомосковский),Десеновское поселение
https://www.cian.ru/sale/flat/301593269/,15279962,219225,69.7,2,13,2,False,2025,8,НАО (Новомосковский),Сосенское поселение
https://www.cian.ru/sale/flat/301575727/,19251556,211092,91.2,17,20,3,False,2024,8,НАО (Новомосковский),Московский
